"UniqueID","Probability1"
11903,0.273491457119363
11909,0.185844530324083
11912,0.266294208805053
11948,0.260391883197748
11954,0.0000000795776742661147
12088,0.063875306277561
12096,0.0000000324557488375896
12148,0.234351749951141
12175,0.373883480247701
12225,0.166947296226005
12287,0.0000000772867933032238
12302,0.000000000000000222044604925031
12329,0.274699852801471
12336,0.303449011479468
12342,0.25457706454574
12383,0.251128111018261
12402,0.198278384965135
12410,0.26274270504989
12417,0.149651634113253
12419,0.206660185714025
12420,0.251128111018261
12433,0.274702277763784
12434,0.320404845110644
12440,0.246123861838442
12450,0.84644291071965
12455,0.185842688775934
12459,0.240966763011742
12460,0.146930831486651
12462,0.416320863799581
12464,0.0968693126241196
12465,0.142902902619646
12466,0.436250250182393
12472,0.892086355818078
12473,0.13828893163716
12474,0.248846132134727
12475,0.099426920294772
12476,0.312527627406848
12477,0.107979600057013
12478,0.105728573776342
12479,0.0954089427258322
12480,0.0963945711399372
12481,0.0956550277961607
12482,0.110240404911139
12483,0.103504345623716
12485,0.107685701334906
12521,0.81938840847037
12535,0.247204922142602
12542,0.0000000065046946250712
12544,0.159787815817771
12545,0.257346504447024
12546,0.274702277763784
12557,0.482588529422122
12560,0.461344249864795
12576,0.125848024793158
12578,0.0000000942110482394653
12583,0.000000036788666777919
12600,0.0000000907636158089242
12610,0.471803551712437
12624,0.470441910653189
12625,0.724092200933822
12627,0.455904256110566
12628,0.160277912716812
12632,0.170657494695469
12645,0.19808691358978
12646,0.000000000000000222044604925031
12647,0.19808691358978
12650,0.244321692221765
12658,0.0776418584839829
